<<<<<<< HEAD
<<<<<<< HEAD
=======
<<<<<<< HEAD
>>>>>>> 5114c4d1f6dc0365c556b2828adf163021033241
Date,Close
3/2/2015,47.13
3/3/2015,47.15
3/4/2015,47.41
3/5/2015,47.64
3/6/2015,47.03
3/9/2015,47.19
3/10/2015,46.17
3/11/2015,46.48
3/12/2015,47.18
3/13/2015,46.79
3/16/2015,47.3
3/17/2015,47.41
3/18/2015,49.27
3/19/2015,46.1
3/20/2015,47.14
3/23/2015,47.64
3/24/2015,47.02
3/25/2015,46.76
3/26/2015,47.11
3/27/2015,46.5
3/30/2015,47.33
3/31/2015,47.53
4/1/2015,46.31
4/2/2015,47.26
4/6/2015,46.74
4/7/2015,47.01
4/8/2015,47.59
4/9/2015,47.79
4/10/2015,48.22
4/13/2015,47.36
4/14/2015,47.81
4/15/2015,48.52
4/16/2015,47.38
4/17/2015,46.41
4/20/2015,47.38
4/21/2015,46.81
4/22/2015,46.82
4/23/2015,48.42
4/24/2015,48.11
4/27/2015,48.6
4/28/2015,49.56
4/29/2015,49.19
4/30/2015,48.86
5/1/2015,49
5/4/2015,49.22
5/5/2015,48.9
5/6/2015,48.59
5/7/2015,48.66
5/8/2015,48.9
5/11/2015,48.93
5/12/2015,48.33
5/13/2015,48.76
5/14/2015,49.6
5/15/2015,49.32
5/18/2015,49.05
5/19/2015,47.95
5/20/2015,48.06
5/21/2015,47.77
5/22/2015,48.1
5/26/2015,47.19
5/27/2015,47.81
5/28/2015,47.58
5/29/2015,47.3
6/1/2015,47.59
6/2/2015,49.41
6/3/2015,49.77
6/4/2015,49.06
6/5/2015,48.92
6/8/2015,48.52
6/9/2015,48.31
6/10/2015,48.9
6/11/2015,48.9
6/12/2015,48.59
6/15/2015,47.5
6/16/2015,48.09
6/17/2015,48.12
6/18/2015,47.84
6/19/2015,47.5
6/22/2015,47.17
6/23/2015,48.1
6/24/2015,47.43
6/25/2015,47.3
6/26/2015,46.25
6/29/2015,45.01
6/30/2015,44.07
7/1/2015,44.49
7/2/2015,44.25
7/6/2015,43.64
7/7/2015,44.11
7/8/2015,42.8
7/9/2015,42.96
7/10/2015,43.35
7/13/2015,44.15
7/14/2015,44.18
7/15/2015,43.52
7/16/2015,43.26
7/17/2015,42.69
7/20/2015,42.18
7/21/2015,42.58
7/22/2015,42.18
7/23/2015,43.49
7/24/2015,42.64
7/27/2015,43.8
7/28/2015,44.5
7/29/2015,45.44
7/30/2015,44.85
7/31/2015,44.14
8/3/2015,44.53
8/4/2015,44.99
8/5/2015,45.49
8/6/2015,45.7
8/7/2015,45.14
8/10/2015,46.69
8/11/2015,45.28
8/12/2015,44.74
8/13/2015,45.46
8/14/2015,46.31
8/17/2015,46.96
8/18/2015,46.46
8/19/2015,46.05
8/20/2015,44.81
8/21/2015,43.34
8/24/2015,41.44
8/25/2015,40.54
8/26/2015,41.58
8/27/2015,43.13
8/28/2015,43.31
8/31/2015,43.29
9/1/2015,42.03
9/2/2015,42.8
9/3/2015,42.88
9/4/2015,41.67
9/8/2015,42.56
9/9/2015,41.55
9/10/2015,41.83
9/11/2015,42.12
9/14/2015,40.73
9/15/2015,40.9
9/16/2015,41.64
9/17/2015,41.35
9/18/2015,40.25
9/21/2015,40.29
9/22/2015,39.13
9/23/2015,38.46
9/24/2015,38.63
9/25/2015,38.51
9/28/2015,37
9/29/2015,37.16
9/30/2015,37.55
10/1/2015,37.61
10/2/2015,38
10/5/2015,39.82
10/6/2015,39.92
10/7/2015,40.58
10/8/2015,41.26
10/9/2015,41.47
10/12/2015,41.28
10/13/2015,41.53
10/14/2015,41.53
10/15/2015,42.18
10/16/2015,42.16
10/19/2015,41.14
10/20/2015,40.88
