<<<<<<< HEAD
<<<<<<< HEAD
Date,Close
3/2/2015,6.91
3/3/2015,6.68
3/4/2015,6.77
3/5/2015,6.8
3/6/2015,6.64
3/9/2015,6.74
3/10/2015,6.59
3/11/2015,6.77
3/12/2015,6.93
3/13/2015,7.16
3/16/2015,7.3
3/17/2015,7.17
3/18/2015,7.1
3/19/2015,7.1
3/20/2015,7.15
3/23/2015,7.1
3/24/2015,7.23
3/25/2015,7.12
3/26/2015,7.02
3/27/2015,7.17
3/30/2015,7.22
3/31/2015,7.12
4/1/2015,7.14
4/2/2015,7.28
4/6/2015,7.29
4/7/2015,7.14
4/8/2015,7.24
4/9/2015,7.29
4/10/2015,7.19
4/13/2015,7.18
4/14/2015,7.13
4/15/2015,7.2
4/16/2015,7.11
4/17/2015,7.07
4/20/2015,6.99
4/21/2015,7.1
4/22/2015,7.11
4/23/2015,7.02
4/24/2015,7.07
4/27/2015,7.21
4/28/2015,7.1
4/29/2015,6.71
4/30/2015,6.44
5/1/2015,6.39
5/4/2015,6.46
5/5/2015,6.42
5/6/2015,6.25
5/7/2015,6.47
5/8/2015,6.6
5/11/2015,6.54
5/12/2015,6.46
5/13/2015,6.56
5/14/2015,6.68
5/15/2015,6.74
5/18/2015,6.75
5/19/2015,6.81
5/20/2015,6.87
5/21/2015,6.93
5/22/2015,6.96
5/26/2015,6.87
5/27/2015,7.01
5/28/2015,7.04
5/29/2015,7
6/1/2015,7.11
6/2/2015,7.05
6/3/2015,7.12
6/4/2015,7.02
6/5/2015,6.83
6/8/2015,6.8
6/9/2015,6.67
6/10/2015,6.86
6/11/2015,6.92
6/12/2015,6.95
6/15/2015,6.77
6/16/2015,6.77
6/17/2015,6.63
6/18/2015,6.73
6/19/2015,6.63
6/22/2015,6.8
6/23/2015,6.89
6/24/2015,6.75
6/25/2015,6.72
6/26/2015,6.8
6/29/2015,6.34
6/30/2015,6.34
7/1/2015,6.39
7/2/2015,6.24
7/6/2015,6.13
7/7/2015,6.16
7/8/2015,5.94
7/9/2015,6.08
7/10/2015,6.32
7/13/2015,6.37
7/14/2015,6.34
7/15/2015,6.47
7/16/2015,6.64
7/17/2015,6.76
7/20/2015,6.75
7/21/2015,6.78
7/22/2015,6.77
7/23/2015,6.78
7/24/2015,6.61
7/27/2015,6.29
7/28/2015,6.52
7/29/2015,6.34
7/30/2015,6.8
7/31/2015,6.9
8/3/2015,7.04
8/4/2015,7.07
8/5/2015,7.07
8/6/2015,7.08
8/7/2015,7.14
8/10/2015,7.23
8/11/2015,7.14
8/12/2015,6.71
8/13/2015,6.83
8/14/2015,6.8
8/17/2015,6.75
8/18/2015,6.69
8/19/2015,6.59
8/20/2015,6.38
8/21/2015,6.36
8/24/2015,6
8/25/2015,6.13
8/26/2015,6.31
8/27/2015,6.28
8/28/2015,6.26
8/31/2015,6.17
9/1/2015,5.96
9/2/2015,6.02
9/3/2015,6.05
9/4/2015,5.94
9/8/2015,6.35
9/9/2015,6.29
9/10/2015,6.37
9/11/2015,6.36
9/14/2015,6.25
9/15/2015,6.47
9/16/2015,6.5
9/17/2015,6.6
9/18/2015,6.33
9/21/2015,6.17
9/22/2015,5.82
9/23/2015,5.97
9/24/2015,5.72
9/25/2015,5.67
9/28/2015,5.39
9/29/2015,5.33
9/30/2015,5.77
10/1/2015,5.9
10/2/2015,6.12
10/5/2015,6.21
10/6/2015,6.22
10/7/2015,6.47
10/8/2015,6.77
10/9/2015,6.84
10/12/2015,6.94
10/13/2015,6.86
10/14/2015,6.9
10/15/2015,7.12
10/16/2015,7.08
10/19/2015,7.19
10/20/2015,6.96
10/21/2015,6.63
10/22/2015,6.65
10/23/2015,6.71
10/26/2015,6.7
10/27/2015,6.73
10/28/2015,6.42
10/29/2015,6.35
10/30/2015,6.39
11/2/2015,6.5
11/3/2015,6.39
11/4/2015,6.22
11/5/2015,6.24
11/6/2015,6.29
11/9/2015,6.2
11/10/2015,6.13
11/11/2015,6.09
11/12/2015,5.92
11/13/2015,5.9
11/16/2015,5.9
11/17/2015,5.87
11/18/2015,5.86
11/19/2015,6.04
11/20/2015,6.13
11/23/2015,6.12
11/24/2015,6.07
11/25/2015,6.11
11/27/2015,6.26
11/30/2015,6.22
12/1/2015,6.22
12/2/2015,6.06
12/3/2015,6.04
12/4/2015,6.13
12/7/2015,6.12
12/8/2015,6.03
12/9/2015,6.03
12/10/2015,6.02
12/11/2015,5.94
12/14/2015,5.71
12/15/2015,5.89
12/16/2015,5.98
12/17/2015,6.03
12/18/2015,5.99
12/21/2015,6.09
12/22/2015,5.98
12/23/2015,6.21
12/24/2015,6.21
12/28/2015,6.24
12/29/2015,6.27
12/30/2015,6.18
12/31/2015,6.11
1/4/2016,8.96
1/5/2016,9.03
1/6/2016,8.5
1/7/2016,8.23
1/8/2016,7.96
1/11/2016,8.08
1/12/2016,8.16
1/13/2016,7.83
1/14/2016,7.5
1/15/2016,7.31
1/19/2016,7.09
1/20/2016,6.86
1/21/2016,7.07
1/22/2016,7.26
1/25/2016,7.07
1/26/2016,7.58
1/27/2016,7.42
1/28/2016,7.07
1/29/2016,7.01
2/1/2016,6.98
2/2/2016,6.69
2/3/2016,6.64
2/4/2016,6.62
2/5/2016,6.55
2/8/2016,6.05
2/9/2016,5.86
2/10/2016,6.15
2/11/2016,5.97
2/12/2016,6.08
2/16/2016,6.27
2/17/2016,6.52
2/18/2016,6.41
2/19/2016,6.3
2/22/2016,6.5
2/23/2016,6.28
2/24/2016,6.18
2/25/2016,6.37
2/26/2016,6.67
2/29/2016,6.82
3/1/2016,7.31
3/2/2016,7.44
3/3/2016,7.65
3/4/2016,7.71
3/7/2016,7.64
3/8/2016,7.28
3/9/2016,7.37
3/10/2016,7.24
3/11/2016,7.57
3/14/2016,7.74
3/15/2016,7.57
3/16/2016,7.8
3/17/2016,7.8
3/18/2016,8.04
3/21/2016,7.96
3/22/2016,7.95
3/23/2016,7.74
3/24/2016,7.59
3/28/2016,7.63
3/29/2016,7.79
3/30/2016,8.12
3/31/2016,8.03
4/1/2016,7.7
4/4/2016,7.66
4/5/2016,7.33
4/6/2016,7.23
4/7/2016,6.89
4/8/2016,7.18
4/11/2016,7.34
4/12/2016,7.29
4/13/2016,7.6
4/14/2016,7.55
4/15/2016,7.49
4/18/2016,7.73
4/19/2016,8.01
4/20/2016,8.14
4/21/2016,8.16
4/22/2016,7.98
4/25/2016,8.15
4/26/2016,8.01
4/27/2016,8.14
4/28/2016,8.23
4/29/2016,8.06
5/2/2016,8.18
5/3/2016,7.93
5/4/2016,7.8
5/5/2016,7.62
5/6/2016,7.69
5/9/2016,7.56
5/10/2016,7.79
5/11/2016,7.57
5/12/2016,7.59
5/13/2016,7.62
5/16/2016,7.49
5/17/2016,6.99
5/18/2016,7.02
5/19/2016,6.79
5/20/2016,7.01
5/23/2016,6.65
5/24/2016,6.9
5/25/2016,7.11
5/26/2016,7.06
5/27/2016,6.89
5/31/2016,7.14
6/1/2016,7.01
6/2/2016,7.1
6/3/2016,6.97
6/6/2016,6.98
6/7/2016,7.25
6/8/2016,7.24
6/9/2016,7.12
6/10/2016,6.84
6/13/2016,6.61
6/14/2016,6.56
6/15/2016,6.53
6/16/2016,6.53
6/17/2016,6.73
6/20/2016,7.01
6/21/2016,7.03
6/22/2016,6.89
6/23/2016,7.16
6/24/2016,6.28
6/27/2016,5.94
6/28/2016,6.03
6/29/2016,5.98
6/30/2016,6.09
7/1/2016,6.21
7/5/2016,5.66
7/6/2016,5.68
7/7/2016,5.7
7/8/2016,6.09
7/11/2016,6.36
7/12/2016,6.61
7/13/2016,6.53
7/14/2016,6.73
7/15/2016,6.72
7/18/2016,6.7
7/19/2016,6.53
7/20/2016,6.84
7/21/2016,6.88
7/22/2016,6.83
7/25/2016,6.85
7/26/2016,6.97
7/27/2016,6.67
7/28/2016,6.35
7/29/2016,6.38
8/1/2016,6.3
8/2/2016,6.05
8/3/2016,6.59
8/4/2016,6.48
8/5/2016,6.72
8/8/2016,6.74
8/9/2016,6.84
8/10/2016,6.87
8/11/2016,6.88
8/12/2016,6.86
8/15/2016,6.93
8/16/2016,6.78
8/17/2016,6.77
8/18/2016,6.78
8/19/2016,6.67
8/22/2016,6.68
8/23/2016,6.81
8/24/2016,6.84
8/25/2016,6.89
8/26/2016,6.85
8/29/2016,6.81
8/30/2016,6.93
8/31/2016,6.85
9/1/2016,6.78
9/2/2016,6.68
9/6/2016,6.78
9/7/2016,6.91
9/8/2016,6.81
9/9/2016,6.64
9/12/2016,6.68
9/13/2016,6.49
9/14/2016,6.36
9/15/2016,6.49
9/16/2016,6.32
9/19/2016,6.52
9/20/2016,6.28
9/21/2016,6.38
9/22/2016,6.51
9/23/2016,6.4
9/26/2016,6.16
9/27/2016,6.06
9/28/2016,6.2
9/29/2016,6.11
9/30/2016,6.37
10/3/2016,6.43
10/4/2016,6.38
10/5/2016,6.55
10/6/2016,6.49
10/7/2016,6.44
10/10/2016,6.54
10/11/2016,6.47
10/12/2016,6.33
10/13/2016,6.13
10/14/2016,6.27
10/17/2016,6.25
10/18/2016,6.24
10/19/2016,6.31
10/20/2016,6.33
10/21/2016,6.27
10/24/2016,6.48
10/25/2016,6.51
10/26/2016,6.92
10/27/2016,7.17
10/28/2016,7.16
10/31/2016,7.29
11/1/2016,7.21
11/2/2016,6.75
11/3/2016,6.76
11/4/2016,6.72
11/7/2016,7.17
11/8/2016,7.06
11/9/2016,6.89
11/10/2016,7.56
11/11/2016,7.62
11/14/2016,7.03
11/15/2016,7.49
11/16/2016,7.53
11/17/2016,7.44
11/18/2016,7.4
11/21/2016,7.51
11/22/2016,7.56
11/23/2016,7.59
11/25/2016,7.67
11/28/2016,7.62
11/29/2016,7.52
11/30/2016,7.63
12/1/2016,7.71
12/2/2016,7.6
12/5/2016,8.08
12/6/2016,8.24
12/7/2016,8.43
12/8/2016,8.41
12/9/2016,8.38
12/12/2016,8.44
12/13/2016,8.6
12/14/2016,8.46
12/15/2016,8.69
12/16/2016,8.76
12/19/2016,8.82
12/20/2016,9.04
12/21/2016,9.01
12/22/2016,8.79
12/23/2016,9
12/27/2016,9.06
12/28/2016,8.95
12/29/2016,9.02
12/30/2016,9.08
1/3/2017,9.51
1/4/2017,9.64
1/5/2017,9.77
1/6/2017,10.38
1/9/2017,10.53
1/10/2017,10.77
1/11/2017,11.04
1/12/2017,9.91
1/13/2017,9.69
1/17/2017,9.45
1/18/2017,9.63
1/19/2017,9.9
1/20/2017,9.97
1/23/2017,10.24
1/24/2017,10.83
1/25/2017,10.93
1/26/2017,11.01
1/27/2017,11.03
1/30/2017,10.77
1/31/2017,10.94
2/1/2017,10.93
2/2/2017,10.85
2/3/2017,10.98
2/6/2017,10.73
2/7/2017,10.23
2/8/2017,10.55
2/9/2017,10.77
2/10/2017,10.71
2/13/2017,10.89
2/14/2017,11.37
2/15/2017,11.47
2/16/2017,11.5
2/17/2017,11.3
2/21/2017,11.38
2/22/2017,11.33
2/23/2017,11
2/24/2017,10.75
2/27/2017,11.02
2/28/2017,10.92
3/1/2017,10.99
3/2/2017,10.93
3/3/2017,11.17
3/6/2017,10.99
3/7/2017,10.9
3/8/2017,10.93
3/9/2017,10.84
3/10/2017,10.86
3/13/2017,11.06
3/14/2017,11.01
3/15/2017,11.27
3/16/2017,11.53
3/17/2017,11.42
3/20/2017,11.25
3/21/2017,10.66
3/22/2017,10.92
3/23/2017,10.75
3/24/2017,10.77
3/27/2017,10.86
3/28/2017,11.08
3/29/2017,11.02
3/30/2017,10.93
3/31/2017,10.88
4/3/2017,10.37
4/4/2017,10.35
4/5/2017,10.07
4/6/2017,10.23
4/7/2017,10.08
4/10/2017,10.05
4/11/2017,10.15
4/12/2017,10.01
4/13/2017,9.66
4/17/2017,9.74
4/18/2017,9.7
4/19/2017,9.93
4/20/2017,10.18
4/21/2017,10.05
4/24/2017,10.52
4/25/2017,10.5
4/26/2017,11.6
4/27/2017,11.22
4/28/2017,11.32
5/1/2017,11.36
5/2/2017,10.87
5/3/2017,10.97
5/4/2017,11.15
5/5/2017,11.32
5/8/2017,11.15
5/9/2017,10.95
5/10/2017,11.02
5/11/2017,10.82
5/12/2017,10.82
5/15/2017,11.09
5/16/2017,10.88
5/17/2017,10.55
5/18/2017,10.43
5/19/2017,10.46
5/22/2017,10.72
5/23/2017,10.28
5/24/2017,10.52
5/25/2017,10.54
5/26/2017,10.51
5/30/2017,10.37
5/31/2017,10.53
6/1/2017,11.09
